Date,Location Key,City,State/Region,Country,Timezone,Geoname ID,Special Events,Special Event Details,Note,Snapshot Source
2026-08-09,geoname:1253952|city:udupi,Udupi,Karnataka,India,Asia/Kolkata,1253952,Kamika Ekadashi,"AruNodaya: 9 August 2026, 04:42:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 06:18 AM to 08:00 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1254163|city:thiruvananthapuram,Thiruvananthapuram,Kerala,India,Asia/Kolkata,1254163,Kamika Ekadashi,"AruNodaya: 9 August 2026, 04:39:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 06:15 AM to 08:00 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1254360|city:tirupati,Tirupati,Andhra Pradesh,India,Asia/Kolkata,1254360,Kamika Ekadashi,"AruNodaya: 9 August 2026, 04:22:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 05:59 AM to 08:00 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1254388|city:srirangam,Srirangam,Tamil Nadu,India,Asia/Kolkata,1254388,Kamika Ekadashi,"AruNodaya: 9 August 2026, 04:29:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 06:05 AM to 08:00 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1255364|city:surat,Surat,Gujarat,India,Asia/Kolkata,1255364,Kamika Ekadashi,"AruNodaya: 9 August 2026, 04:39:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 06:15 AM to 08:00 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1255634|city:srinagar,Srinagar,Jammu and Kashmir,India,Asia/Kolkata,1255634,Kamika Ekadashi,"AruNodaya: 9 August 2026, 04:12:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 05:48 AM to 08:00 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1256287|city:silchar,Silchar,Assam,India,Asia/Kolkata,1256287,Kamika Ekadashi,"AruNodaya: 9 August 2026, 03:14:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 04:51 AM to 07:28 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1256525|city:shiliguri,Shiliguri,West Bengal,India,Asia/Kolkata,1256525,Kamika Ekadashi,"AruNodaya: 9 August 2026, 03:29:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 05:05 AM to 07:44 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1259229|city:pune,Pune,Maharashtra,India,Asia/Kolkata,1259229,Kamika Ekadashi,"AruNodaya: 9 August 2026, 04:39:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 06:15 AM to 08:00 AM",,2026-08-09_IST.txt
2026-08-09,geoname:1260546|city:pandharpur,Pandharpur,Maharashtra,India,Asia/Kolkata,1260546,Kamika Ekadashi,"AruNodaya: 9 August 2026, 04:34:00 AM | Tithi start: 8 August 2026, 01:59:00 PM | Tithi end: 9 August 2026, 11:04:00 AM | Upavaasa date: 09-Aug-26 | Parana date: On 10th Aug, Parana Time - 06:10 AM to 08:00 AM",,2026-08-09_IST.txt
